year,month,index,index_cleaned
2016,1,95,98.4
2016,2,100.1,98.2
2016,3,105.5,107.1
2016,4,103.5,100.7
2016,5,101.1,102.2
2016,6,105.1,101.2
2016,7,99.7,102.6
2016,8,100.8,98.9
2016,9,102.7,101.3
2016,10,99.2,102.6
2016,11,100.8,99.7
2016,12,89.2,86.7
2017,1,98.2,97.2
2017,2,96,96.6
2017,3,110.7,107.3
2017,4,99,103.5
2017,5,105.2,102
2017,6,102.6,102.9
2017,7,103.2,106.1
2017,8,103.8,101.8
2017,9,103.2,104.3
2017,10,102.4,105.7
2017,11,106.4,105.2
2017,12,90.5,90.9
2018,1,102.8,100.8
2018,2,96.9,97.5
2018,3,104.9,106.5
2018,4,102.5,102.1
2018,5,104.3,105.3
2018,6,106.2,104.7
2018,7,105.4,105.8
2018,8,101.1,99.2
2018,9,97.1,100.5
2018,10,103,101.9
2018,11,100.8,99.6
2018,12,83.4,86.7
2019,1,100.7,98.7
2019,2,97,96.8
2019,3,103.2,105.8
2019,4,99.7,99.4
2019,5,102.5,99.5
2019,6,94.3,99.2
2019,7,102.8,100.8
2019,8,95.5,95.9
2019,9,95.3,96.3
2019,10,100.9,99.7
2019,11,95.3,96.5
2019,12,80.6,82.4
2020,1,97.6,96.5
2020,2,97.6,98.1
2020,3,103.5,102.7
2020,4,86.8,86.5
2020,5,84.1,85.6
2020,6,87.3,87.5
2020,7,94.4,92.6
2020,8,88.4,90.5
2020,9,94.7,93.4
2020,10,100.5,98.9
2020,11,98.6,98.1
2020,12,87.9,86.8
2021,1,94.7,98.1
2021,2,93.4,93.2
2021,3,110,106.5
2021,4,100.5,100.1
2021,5,100.8,102.6
2021,6,102.4,100.3
2021,7,100.6,101
2021,8,95.7,95.6
2021,9,99.9,98.5
2021,10,100.5,101.3
2021,11,101.3,100.1
2021,12,90.3,87.7
2022,1,96.5,97.8
2022,2,95.6,95.4
2022,3,106.4,103.1
2022,4,95,96.9
2022,5,97.9,94.9
2022,6,95.3,95.6
2022,7,92.6,95.3
2022,8,89.3,87.6
2022,9,90.5,89.2
2022,10,85.3,88.5
2022,11,87.9,86.9
2022,12,72.7,70.6
2023,1,85.3,84.4
2023,2,83.1,83.7
2023,3,93.2,90.2
2023,4,80.5,84.1
2023,5,83.5,83
2023,6,85.7,83.9
2023,7,82.1,84.5
2023,8,81.6,80.1
2023,9,80.2,81.1
2023,10,81.2,82.2
2023,11,,
2023,12,,
2024,1,,
2024,2,,
2024,3,,
